Name,Line,Treatment,Concentration,Day,boutd,sleepd,boutn,sleepn,wakeact,sleeplat,Sex
52_10_900,900,Chlorpromazine_Sonazine_,3,1,7,504,8,586,2.32571,38,Male
52_10_900,900,Chlorpromazine_Sonazine_,3,2,11,500,5,604,2.83036,83,Male
52_10_900,900,Chlorpromazine_Sonazine_,3,3,16,433,7,514,2.36308,97,Male
52_10_900,900,Chlorpromazine_Sonazine_,3,4,17,404,12,531,2.55446,27,Male
52_10_900,900,Chlorpromazine_Sonazine_,3,5,15,433,11,590,2.11031,0,Male
52_11_900,900,Chlorpromazine_Sonazine_,3,1,10,343,17,457,3.34531,113,Male
52_11_900,900,Chlorpromazine_Sonazine_,3,2,19,335,18,371,2.76158,168,Male
52_11_900,900,Chlorpromazine_Sonazine_,3,3,17,233,6,406,2.7191,162,Male
52_11_900,900,Chlorpromazine_Sonazine_,3,4,20,184,9,383,2.35739,171,Male
52_11_900,900,Chlorpromazine_Sonazine_,3,5,18,204,8,362,2.53432,190,Male
52_12_900,900,Chlorpromazine_Sonazine_,3,1,17,390,5,450,2.61333,69,Male
52_12_900,900,Chlorpromazine_Sonazine_,3,2,19,504,11,539,2.94207,103,Male
52_12_900,900,Chlorpromazine_Sonazine_,3,3,23,427,6,492,2.63532,165,Male
52_12_900,900,Chlorpromazine_Sonazine_,3,4,12,272,12,502,2.79129,160,Male
52_12_900,900,Chlorpromazine_Sonazine_,3,5,18,275,5,485,2.34559,191,Male
52_13_900,900,Chlorpromazine_Sonazine_,3,1,18,585,5,683,2.30814,29,Male
52_13_900,900,Chlorpromazine_Sonazine_,3,2,15,553,10,622,1.83396,72,Male
52_13_900,900,Chlorpromazine_Sonazine_,3,3,18,600,8,617,2.07623,82,Male
52_13_900,900,Chlorpromazine_Sonazine_,3,4,22,494,12,610,1.97917,73,Male
52_13_900,900,Chlorpromazine_Sonazine_,3,5,25,510,11,580,1.8,93,Male
52_14_900,900,Chlorpromazine_Sonazine_,3,1,23,535,5,637,2.16045,43,Male
52_14_900,900,Chlorpromazine_Sonazine_,3,2,29,602,9,641,2.4467,64,Male
52_14_900,900,Chlorpromazine_Sonazine_,3,3,25,507,8,640,1.95222,64,Male
52_14_900,900,Chlorpromazine_Sonazine_,3,4,33,507,9,625,2.32468,73,Male
52_14_900,900,Chlorpromazine_Sonazine_,3,5,37,430,13,541,2.23454,88,Male
52_15_900,900,Chlorpromazine_Sonazine_,3,1,1,5,2,456,2.50664,127,Male
52_15_900,900,Chlorpromazine_Sonazine_,3,2,5,80,6,156,2.18106,453,Male
52_15_900,900,Chlorpromazine_Sonazine_,3,3,5,72,10,327,2.1902,231,Male
52_15_900,900,Chlorpromazine_Sonazine_,3,4,10,176,3,330,2.18308,270,Male
52_15_900,900,Chlorpromazine_Sonazine_,3,5,17,205,8,352,2.21291,234,Male
52_16_900,900,Chlorpromazine_Sonazine_,3,1,18,388,14,593,1.40523,47,Male
52_16_900,900,Chlorpromazine_Sonazine_,3,2,35,322,18,575,1.50645,12,Male
52_16_900,900,Chlorpromazine_Sonazine_,3,3,45,357,21,530,1.65642,53,Male
52_16_900,900,Chlorpromazine_Sonazine_,3,4,42,326,14,552,1.30427,108,Male
